id,German,Article,English,ExampleSentence,CEFR,WordType,Category,ArticleQuizEligible,Source,Notes,RecommendedRemoval
a1_0001,ab,,from; starting,Ab morgen lernen wir Deutsch.,A1,preposition,Grammar,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0002,aber,,but,Ich komme gern aber ich habe keine Zeit.,A1,conjunction,Grammar,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0003,abfahren,,to depart,Der Zug fährt um acht Uhr ab.,A1,verb,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0004,Abfahrt,die,departure,Die Abfahrt ist um acht Uhr.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0005,abfliegen,,to depart by plane,Der Flug fliegt um zehn ab.,A1,verb,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0006,Abflug,der,departure,Der Abflug ist um elf Uhr.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0007,abgeben,,to hand in; give back,Bitte gib das Formular ab.,A1,verb,Health,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0008,abholen,,to pick up,Ich hole mein Kind von der Schule ab.,A1,verb,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0009,Absender,der,sender,Der Absender steht oben auf dem Brief.,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0010,Achtung,,attention; caution,Achtung das ist heiß.,A1,other,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0011,Adresse,die,address,Wie ist deine Adresse?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0012,all-/alles,,all; everything,Alles ist gut.,A1,other,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0013,allein,,alone,Ich bin heute allein zu Hause.,A1,other,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0014,also,,so; therefore,Also wir beginnen jetzt.,A1,other,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0015,alt,,old,Mein Auto ist alt.,A1,adjective,General,no,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
a1_0016,Alter,das,age,Wie ist Ihr Alter?,A1,noun,General,yes,Goethe-Zertifikat A1 Start Deutsch 1 Wortliste PDF; original Unser Dorf example sentence,,False
