id,German,Article,English,ExampleSentence,CEFR,WordType,Category,ArticleQuizEligible,Source,Notes,Priority,ReviewNote
a2_0001,ab,,from/as of,Ab Montag arbeite ich wieder.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0002,aber,,but,"Ich möchte kommen, aber ich habe keine Zeit.",A2,conjunction,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0003,abgeben,,to hand in/give back,Ich gebe den Schlüssel an der Rezeption ab.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0004,abholen,,to pick up,Ich hole mein Kind um vier Uhr ab.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0005,abschließen,,to lock/finish,Bitte schließen Sie die Tür ab.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0006,Achtung,die,attention/caution,"Achtung, der Zug fährt ab.",A2,phrase,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0007,Adresse,die,address,Schreiben Sie bitte Ihre Adresse auf.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0008,Ahnung,die,idea/clue,Ich habe keine Ahnung.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0009,aktiv,,active,Sie ist sehr aktiv und macht viel Sport.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0010,aktuell,,current,Das ist das aktuelle Programm.,A2,adjective,Housing,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0011,all-,,all/everything,Sind alle da?,A2,determiner,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0012,allein,,alone,Er kommt heute allein.,A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0013,als,,than/as,Sie arbeitet als Lehrerin.,A2,conjunction,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0014,also,,so/well,"Also, wir beginnen jetzt.",A2,adverb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0015,alt,,old,Das Haus ist sehr alt.,A2,adjective,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0016,Alter,das,age,Wie ist Ihr Alter?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0017,Ampel,die,traffic light,Die Ampel ist grün.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0018,an,,at/on/to,Wir treffen uns am Bahnhof.,A2,preposition,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0019,anbieten,,to offer,Darf ich dir Tee anbieten?,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0020,Angebot,das,offer/special offer,Heute ist Käse im Angebot.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0021,ander-,,other/another,Ich nehme den anderen Mantel.,A2,determiner,Grammar,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,High-frequency grammar/function word.
a2_0022,ändern,,to change,Ich möchte meine Adresse ändern.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
a2_0023,anders,,different/differently,Das ist heute anders.,A2,adverb,Housing,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0024,anfangen,,to begin,Der Unterricht fängt um neun Uhr an.,A2,verb,General,no,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Common language item; useful beyond basic core.
