id,German,Article,Plural,English,CEFR,WordType,VocabularyQuizEligible,ArticleQuizEligible,ProblemFlag,ProblemType,SourcePage,RawEntry,Notes
b1_0002,Abitur,das,CH:,,B1,noun,yes,yes,yes,regional_variant,16,"das Abitur (D)→A, CH:",regional_variant_or_reference
b1_0008,Abonnement,das,-s/-e,,B1,noun,yes,yes,no,,16,"das Abonnement, -s/-e",
b1_0010,Abschluss,der,¨-e,,B1,noun,yes,yes,no,,16,"der Abschluss, ¨-e",
b1_0011,Abschnitt,der,-e,,B1,noun,yes,yes,no,,16,"der Abschnitt, -e",
b1_0012,Absender,der,-,,B1,noun,yes,yes,no,,16,"der Absender, -",
b1_0013,Absenderin,die,-nen,,B1,noun,yes,yes,no,,16,"die Absenderin, -nen",
b1_0014,Absicht,die,-en,,B1,noun,yes,yes,no,,16,"die Absicht, -en",
b1_0017,Abteilung,die,-en,,B1,noun,yes,yes,no,,16,"die Abteilung, -en",
b1_0018,Abwart,der,-e,,B1,noun,yes,yes,no,,16,"der Abwart, -e",
b1_0019,Abwartin,die,-nen (CH),,B1,noun,yes,yes,yes,regional_variant,16,"die Abwartin, -nen (CH) →",regional_variant_or_reference
b1_0026,Abbildung,die,-en,,B1,noun,yes,yes,no,,16,"die Abbildung, -en",
b1_0027,Abenteuer,das,-,,B1,noun,yes,yes,no,,16,"das Abenteuer, -",
b1_0030,Abfahrt,die,-en,,B1,noun,yes,yes,no,,16,"die Abfahrt, -en",
b1_0031,Abfall,der,¨-e,,B1,noun,yes,yes,no,,16,"der Abfall, ¨-e",
b1_0032,Abfalleimer,der,-,,B1,noun,yes,yes,no,,16,"der Abfalleimer, -",
b1_0041,Alphabet,das,-e,,B1,noun,yes,yes,no,,17,"das Alphabet, -e",
b1_0046,Alter,das,,,B1,noun,yes,yes,no,,17,das Alter,
b1_0047,Altenheim,das,-e,,B1,noun,yes,yes,yes,regional_variant,17,"das Altenheim, -e →",regional_variant_or_reference
b1_0049,Altersheim,das,-e,,B1,noun,yes,yes,yes,regional_variant,17,"das Altersheim, -e →",regional_variant_or_reference
b1_0052,Alternative,die,-n,,B1,noun,yes,yes,no,,17,"die Alternative, -n",
b1_0053,Ampel,die,-n,,B1,noun,yes,yes,no,,17,"die Ampel, -n",
b1_0054,Amt,das,¨-er,,B1,noun,yes,yes,no,,17,"das Amt, ¨-er",
b1_0060,Adresse,die,-n,,B1,noun,yes,yes,no,,17,"die Adresse, -n",
b1_0062,Ahnung,die,,,B1,noun,yes,yes,no,,17,die Ahnung,
b1_0063,Aktion,die,-en,,B1,noun,yes,yes,no,,17,"die Aktion, -en",
b1_0065,Aktivität,die,-en,,B1,noun,yes,yes,no,,17,"die Aktivität, -en",
b1_0068,Alarm,der,-e,,B1,noun,yes,yes,no,,17,"der Alarm, -e",
b1_0069,Alkohol,der,,,B1,noun,yes,yes,no,,17,der Alkohol,
b1_0075,Alltag,der,,,B1,noun,yes,yes,no,,17,der Alltag,
b1_0076,Angst,die,¨-e,,B1,noun,yes,yes,no,,18,"die Angst, ¨-e",
b1_0081,Ankunft,die,,,B1,noun,yes,yes,no,,18,die Ankunft,
b1_0083,Anlage,die,-n,,B1,noun,yes,yes,no,,18,"die Anlage, -n",
b1_0084,Anleitung,die,-en,,B1,noun,yes,yes,no,,18,"die Anleitung, -en",
b1_0086,Anmeldung,die,-en,,B1,noun,yes,yes,no,,18,"die Anmeldung, -en",
b1_0088,Annonce,die,-n,,B1,noun,yes,yes,no,,18,"die Annonce, -n",
b1_0089,Anrede,die,-n,,B1,noun,yes,yes,no,,18,"die Anrede, -n",
