id,German,Article,English,ExampleSentence,CEFR,WordType,Category,ArticleQuizEligible,Source,Notes,Priority,ReviewNote
a2_0007,Adresse,die,address,Schreiben Sie bitte Ihre Adresse auf.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0008,Ahnung,die,idea/clue,Ich habe keine Ahnung.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0016,Alter,das,age,Wie ist Ihr Alter?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0017,Ampel,die,traffic light,Die Ampel ist grün.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0020,Angebot,das,offer/special offer,Heute ist Käse im Angebot.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0025,Anfang,der,beginning,Am Anfang war es schwer.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0026,Angst,die,fear,Das Kind hat Angst.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0028,Ankunft,die,arrival,Die Ankunft ist um zehn Uhr.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0031,Anmeldung,die,registration,Die Anmeldung ist bis Freitag möglich.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0032,Anrufbeantworter,der,answering machine,Sprechen Sie bitte auf den Anrufbeantworter.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0034,Anruf,der,phone call,Ich bekomme einen Anruf.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0035,Anschluss,der,connection,Wir haben Anschluss nach Berlin.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0038,Antwort,die,answer,Die Antwort ist richtig.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0039,Anzeige,die,advertisement,Ich habe die Anzeige gelesen.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0040,Anzug,der,suit,Er trägt einen schwarzen Anzug.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0041,Apfel,der,apple,Ich esse einen Apfel.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0042,Apotheke,die,pharmacy,Die Apotheke ist neben dem Supermarkt.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0043,Arbeit,die,work/job,Ich gehe heute zur Arbeit.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0045,Arbeitgeber,der,employer,Mein Arbeitgeber ist sehr nett.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0046,Arbeitnehmer,der,employee,Der Arbeitnehmer hat heute frei.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0047,Arbeitsplatz,der,workplace/job,Mein Arbeitsplatz ist in der Stadt.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0048,Arbeitszeit,die,working hours,Meine Arbeitszeit beginnt um acht.,A2,noun,Work,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0050,Arm,der,arm,Mein Arm tut weh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0051,Arzt,der,doctor,Ich habe einen Termin beim Arzt.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0052,Ärztin,die,female doctor,Die Ärztin untersucht das Kind.,A2,noun,Health,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0055,Aufgabe,die,task/exercise,Die Aufgabe ist leicht.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0061,Aufzug,der,elevator,Der Aufzug ist kaputt.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0062,Auge,das,eye,Mein linkes Auge tut weh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0064,Ausbildung,die,training/apprenticeship,Ich mache eine Ausbildung.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0065,Ausflug,der,excursion,Wir machen einen Ausflug.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0067,Ausgang,der,exit,Wo ist der Ausgang?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0070,Auskunft,die,information,Können Sie mir eine Auskunft geben?,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0071,Ausland,das,abroad/foreign country,Sie arbeitet im Ausland.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0079,Auto,das,car,Wir fahren mit dem Auto.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0080,Autor,der,author,Der Autor schreibt ein Buch.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0081,Autorin,die,female author,Die Autorin liest aus ihrem Buch.,A2,noun,Travel,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Core,Useful for adult A2 learners and v0 testing.
a2_0082,Babysitter,der,babysitter,Der Babysitter kommt um sechs.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0083,Bäcker,der,baker,Der Bäcker verkauft Brot.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
a2_0084,Bäckerin,die,female baker,Die Bäckerin arbeitet früh.,A2,noun,General,yes,Goethe A2 word list vocabulary; original Unser Dorf example sentence,,Useful,Keep in full list; review later if needed.
