id,German,Article,Plural,English,CEFR,WordType,VocabularyQuizEligible,ArticleQuizEligible,ProblemFlag,ProblemType,SourcePage,RawEntry,Notes
b1_0001,abschreiben,,,,B1,verb,yes,no,yes,separable_verb,16,"abschreiben, schreibt ab,",
b1_0002,Abitur,das,CH:,,B1,noun,yes,yes,yes,regional_variant,16,"das Abitur (D)→A, CH:",regional_variant_or_reference
b1_0003,Matura,,,,B1,other,yes,no,no,,16,Matura,
b1_0004,ablehnen,,,,B1,verb,yes,no,yes,separable_verb,16,"ablehnen, lehnt ab,",
b1_0005,abmachen,,,,B1,verb,yes,no,yes,separable_verb,16,"abmachen, macht ab,",
b1_0006,abnehmen,,,,B1,verb,yes,no,yes,separable_verb,16,"abnehmen, nimmt ab,",
b1_0007,abonnieren,,,,B1,verb,yes,no,no,,16,"abonnieren, abonniert,",
b1_0008,Abonnement,das,-s/-e,,B1,noun,yes,yes,no,,16,"das Abonnement, -s/-e",
b1_0009,absagen,,,,B1,verb,yes,no,yes,separable_verb,16,"absagen, sagt ab, sagte",
b1_0010,Abschluss,der,¨-e,,B1,noun,yes,yes,no,,16,"der Abschluss, ¨-e",
b1_0011,Abschnitt,der,-e,,B1,noun,yes,yes,no,,16,"der Abschnitt, -e",
b1_0012,Absender,der,-,,B1,noun,yes,yes,no,,16,"der Absender, -",
b1_0013,Absenderin,die,-nen,,B1,noun,yes,yes,no,,16,"die Absenderin, -nen",
b1_0014,Absicht,die,-en,,B1,noun,yes,yes,no,,16,"die Absicht, -en",
b1_0015,absolut,,,,B1,adjective/adverb/other,yes,no,no,,16,absolut,
b1_0016,abstimmen,,,,B1,verb,yes,no,yes,separable_verb,16,"abstimmen, stimmt ab,",
b1_0017,Abteilung,die,-en,,B1,noun,yes,yes,no,,16,"die Abteilung, -en",
b1_0018,Abwart,der,-e,,B1,noun,yes,yes,no,,16,"der Abwart, -e",
b1_0019,Abwartin,die,-nen (CH),,B1,noun,yes,yes,yes,regional_variant,16,"die Abwartin, -nen (CH) →",regional_variant_or_reference
b1_0020,abwärts,,,,B1,adjective/adverb/other,yes,no,no,,16,abwärts,
b1_0021,abwaschen,,,,B1,verb,yes,no,yes,separable_verb,16,"abwaschen, wäscht ab,",
b1_0022,abwesend,,,,B1,adjective/adverb/other,yes,no,no,,16,abwesend,
b1_0023,achten,,,,B1,verb,yes,no,no,,16,"achten, achtet, achtete,",
b1_0024,ab,,,,B1,adjective/adverb/other,yes,no,no,,16,ab,
b1_0025,abbiegen,,,,B1,verb,yes,no,yes,separable_verb,16,"abbiegen, biegt ab,",
b1_0026,Abbildung,die,-en,,B1,noun,yes,yes,no,,16,"die Abbildung, -en",
b1_0027,Abenteuer,das,-,,B1,noun,yes,yes,no,,16,"das Abenteuer, -",
b1_0028,aber,,,,B1,other,yes,no,no,,16,aber,
b1_0029,abfahren,,,,B1,verb,yes,no,yes,separable_verb,16,"abfahren, fährt ab,",
b1_0030,Abfahrt,die,-en,,B1,noun,yes,yes,no,,16,"die Abfahrt, -en",
b1_0031,Abfall,der,¨-e,,B1,noun,yes,yes,no,,16,"der Abfall, ¨-e",
b1_0032,Abfalleimer,der,-,,B1,noun,yes,yes,no,,16,"der Abfalleimer, -",
b1_0033,Abgase (Pl.),,,,B1,phrase,yes,no,yes,multi_word_expression,16,Abgase (Pl.),
